Date,Player,MatchId,Map,Category,Playlist,Input,Queue,Csr,Mmr,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,Kills,Deaths,Assists,Betrayals,Suicides,ExpectedKills,ExpectedDeaths,Score,Perfects,Medals,LengthSeconds
"2023-05-18 21:43:31","Sparty McFIy",a2c9d16e-46ce-4a03-812b-96408d531fd7,Argyle,CTF,"Ranked Arena",CrossPlay,Open,2172,,Win,45.7,7298,4911,442,202,240,2.07,20.00,29,14,15,0,0,25,17,3735,0,22,750
"2023-05-18 21:57:16","Sparty McFIy",0da100a7-afd3-4019-a57c-dd5e84376755,Starboard,CTF,"Ranked Arena",CrossPlay,Open,2176,,Win,61.58,7509,5384,505,311,194,1.32,8.66,25,19,8,0,0,24,18,3375,0,11,742
"2023-05-19 06:37:51","Sparty McFIy",71a85e40-49d4-4525-9213-d3908d611a39,Recharge,Oddball,"Ranked Arena",CrossPlay,Open,2180,,Win,61.39,8836,6656,746,458,288,1.62,17.66,34,21,14,0,0,31,22,4520,0,12,923
"2023-05-19 06:54:18","Sparty McFIy",91080354-b227-4c1e-8130-f2ee71d23bf0,"Live Fire",Slayer,"Ranked Arena",CrossPlay,Open,2184,,Win,54.44,5106,3258,417,227,190,1.80,10.66,18,10,8,0,0,15,10,2200,0,8,432
"2023-05-19 07:02:36","Sparty McFIy",d20cd0c0-760c-41c2-a4cc-015b21be6dcc,Aquarius,CTF,"Ranked Arena",CrossPlay,Open,2188,,Loss,67.19,6155,5734,509,342,167,0.90,2.33,18,20,13,0,0,18,16,2625,0,7,615
"2023-05-19 07:13:54","Sparty McFIy",10ffa38c-2317-438c-a406-c700166b9652,Streets,Slayer,"Ranked Arena",CrossPlay,Open,2176,,Win,65.16,3514,2225,155,101,54,5.67,15.00,17,3,3,0,0,12,8,1850,0,9,352
"2023-05-19 07:22:02","Sparty McFIy",71603f34-9838-4480-9a23-00e4a0c13908,Recharge,Slayer,"Ranked Arena",CrossPlay,Open,2180,,Win,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,47
"2023-05-19 07:24:30","Sparty McFIy",f4a886cf-5f3d-471d-a3a5-f24f425a0726,Streets,Strongholds,"Ranked Arena",CrossPlay,Open,2184,,Loss,59.24,7022,5679,579,343,236,1.19,8.33,25,21,13,0,0,23,17,3700,0,11,725
"2023-05-19 07:38:55","Sparty McFIy",84703a74-83e0-4038-b8e5-fded8048d3b6,Streets,"King of the Hill","Ranked Arena",CrossPlay,Open,2172,,Loss,51.34,5465,4610,561,288,273,0.94,2.00,16,17,9,1,0,18,15,2000,0,6,611
"2023-05-19 07:53:34","Sparty McFIy",7c6888d7-2c7d-48f5-a2ac-275bdc15525e,Empyrean,CTF,"Ranked Arena",CrossPlay,Open,2160,,Loss,53.26,8788,7288,721,384,337,1.43,11.33,30,21,7,0,0,29,23,3700,0,11,926
