Date,SeasonNumber,SeasonVersion,Player,MatchId,Map,Category,Playlist,Input,Queue,PreCsr,PostCsr,Rank,WasAtStart,WasAtEnd,WasInProgressJoin,Mmr,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,TotalKills,KillsMelee,KillsGrenade,KillsHeadshot,KillsPower,AssistsEmp,AssistsDriver,AssistsCallout,Deaths,Assists,Betrayals,Suicides,MaxSpree,VehicleDestroys,VehicleHijacks,ExpectedKills,ExpectedDeaths,Score,Perfects,Medals,LengthSeconds
"2024-02-13 02:22:31",6,1,JammedAxis27109,1c2e576e-8beb-4ef4-a0c4-23b1cdedc366,Cliffside,Slayer,"Team Slayer",CrossPlay,Open,0,0,4,1,1,0,,Win,30.45,3235,4265,486,148,338,0.57,-4.33,8,1,1,0,0,0,0,1,14,5,0,0,3,0,0,15,12,1060,0,4,638
"2024-02-13 02:35:45",6,1,JammedAxis27109,8062b131-409f-439a-9b9d-cc109070b706,Catalyst,"Team Slayer","Team Slayer",CrossPlay,Open,0,0,8,1,1,0,,Loss,32.56,1974,4117,387,126,261,0.19,-12.33,3,1,1,0,1,0,0,0,16,2,0,0,1,0,0,9,11,400,0,1,526
"2024-02-13 02:46:08",6,1,JammedAxis27109,4245e254-47d6-4e4b-85f1-ce36f65ba941,Prism,"FFA Shotty Snipes Slayer","Lone Wolves",CrossPlay,Open,0,0,4,1,1,0,1013.557,Loss,38.71,2808,4893,62,24,38,0.55,-7.66,11,0,1,4,5,0,0,0,20,4,0,1,3,0,0,15,15,1200,0,7,475
"2024-02-13 02:55:39",6,1,JammedAxis27109,9e4418b6-34bc-496a-aa4b-e87a7d010765,Catalyst,Slayer,"Tactical Slayer",CrossPlay,Open,0,0,6,1,1,0,,Loss,25.23,1079,1302,214,54,160,0.62,-4.66,8,0,0,7,0,0,0,0,13,1,0,0,5,0,0,10,11,850,0,4,394
"2024-02-13 03:03:48",6,1,JammedAxis27109,a050ba6a-a6c7-4f2d-b587-72471b8f96b7,"High Ground","Team Slayer","Team Slayer",CrossPlay,Open,0,0,7,1,1,0,,Loss,41.28,4545,4329,763,315,448,0.83,-0.33,10,0,0,7,0,0,0,0,12,5,0,0,3,1,0,14,16,1300,0,5,775
"2024-02-13 03:18:23",6,1,JammedAxis27109,2d19e202-29b5-4ccb-9f69-9fc9f0660a1a,Sylvanus,"Slayer BR","Team Slayer",CrossPlay,Open,0,0,6,1,1,0,,Loss,38.75,4124,3636,560,217,343,1.00,1.66,12,0,3,3,0,0,0,1,12,5,0,0,3,0,0,11,14,1460,0,6,673
"2024-02-13 04:24:45",6,1,JammedAxis27109,2a783de1-a8ee-417c-bb8e-64cd5db3328f,"Live Fire","Team Slayer","Team Slayer",CrossPlay,Open,0,0,9,1,0,0,,Left,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,441
"2024-02-13 04:26:21",6,1,JammedAxis27109,18718d19-2565-4e28-84c2-57a67c3bf8ae,Dredge,"Team Slayer","Team Slayer",CrossPlay,Open,0,0,6,1,1,0,,Loss,47.29,4426,3743,590,279,311,0.92,0.66,11,0,0,10,0,0,0,1,12,5,0,0,4,0,0,11,10,1360,0,4,516
"2024-02-13 04:37:00",6,1,JammedAxis27109,70b6430d-46d6-49ca-9fd0-0cbef2c7a906,"Domicile (Construct Reimagined)",Slayer,"Team Slayer",CrossPlay,Open,0,0,5,1,1,0,,Loss,42.65,5603,4337,415,177,238,1.15,4.33,15,1,0,8,6,0,0,0,13,7,0,0,4,0,0,18,14,1850,0,10,747
"2024-02-13 04:51:21",6,1,JammedAxis27109,6038beae-5b38-4451-aa6c-776d684d9268,Forbidden,"Team Slayer","Team Slayer",CrossPlay,Open,0,0,1,1,1,0,,Win,45.62,5608,3353,640,292,348,1.70,9.66,17,0,2,11,3,0,0,0,10,8,0,0,5,0,0,14,11,2100,0,12,632
"2024-02-13 05:03:42",6,1,JammedAxis27109,a73f6170-6b8a-4b16-aaf2-603a22bcb8ad,"Recharge - Ranked",Strongholds,"Ranked Arena",CrossPlay,Open,0,0,1,1,1,0,,Win,44.76,2706,1071,143,64,79,3.00,6.33,6,0,0,4,0,0,0,4,2,7,0,0,6,0,0,9,7,1165,0,4,347
"2024-02-13 05:11:54",6,1,JammedAxis27109,99d8b0bb-a894-4598-9b1b-16990b2bf1c5,"Aquarius - Ranked",Slayer,"Ranked Arena",CrossPlay,Open,0,0,1,1,1,0,,Win,44.44,4500,2375,252,112,140,4.00,14.33,16,0,0,9,0,0,0,1,4,7,0,0,11,0,0,12,7,1960,0,11,753
"2024-02-13 05:25:51",6,1,JammedAxis27109,49825e31-7069-43a6-86ce-7d80d586e199,"Forbidden - Ranked","CTF 3 Captures","Ranked Arena",CrossPlay,Open,0,0,6,1,1,0,,Loss,48.17,7233,4743,328,158,170,1.86,14.66,26,2,0,18,2,0,0,0,14,8,0,0,8,0,0,17,16,3100,2,17,783
