Date,Player,MatchId,Map,Category,Playlist,Input,Queue,Csr,Mmr,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,Kills,Deaths,Assists,Betrayals,Suicides,ExpectedKills,ExpectedDeaths,Score,Perfects,Medals,LengthSeconds
"2023-11-08 04:21:11",eArL694412,278409be-e09e-4f3d-88e8-d6057537e459,Streets,Slayer,"Ranked Arena",CrossPlay,Open,969,,Win,46.79,4280,3966,218,102,116,1.22,4.00,11,9,6,0,0,12,12,1410,0,3,537
"2023-11-08 04:31:17",eArL694412,34ee7860-bc7f-4cc9-b54b-36ead319b2e0,Streets,Oddball,"Ranked Arena",CrossPlay,Open,978,,Win,49.84,6592,7351,317,158,159,1.10,7.66,22,20,17,0,0,23,24,4175,0,6,962
"2023-11-08 04:48:30",eArL694412,44e45b3d-2a0c-47e2-92fc-f0706244f9b8,Solitude,"King of the Hill","Ranked Arena",CrossPlay,Open,987,,Left,43.06,1556,2109,72,31,41,0.38,-4.00,3,8,3,0,0,6,7,500,0,1,263
"2023-11-08 04:53:42",eArL694412,4039af93-1f9c-4bc7-8657-6f30b68aabad,Empyrean,"CTF 3 Captures","Ranked Arena",CrossPlay,Open,978,,Loss,50.27,3281,3607,185,93,92,0.73,-1.33,8,11,5,0,0,10,11,1175,0,1,523
"2023-11-08 05:04:17",eArL694412,6498b1d1-3742-4a67-914c-4c78a54dcc21,Recharge,"King of the Hill","Ranked Arena",CrossPlay,Open,970,,Loss,54.92,7204,5831,264,145,119,1.19,8.33,19,16,16,0,0,20,21,3600,0,8,789
"2023-11-08 05:23:07",eArL694412,ac7d154f-5da8-4c0b-897e-54732afcd68f,Aquarius,Slayer,"Ranked Arena",CrossPlay,Open,962,,Win,50.8,4321,3430,187,95,92,0.80,0.66,8,10,8,0,0,11,11,1210,0,3,502
"2023-11-08 05:32:39",eArL694412,0c55471d-c519-4ff2-a0ef-079cae33cd7d,Empyrean,"CTF 3 Captures","Ranked Arena",CrossPlay,Open,970,,Win,40.91,2239,2294,110,45,65,0.78,0.33,7,9,7,0,0,7,6,1460,0,4,406
"2023-11-08 05:41:56",eArL694412,06b2041d-a22e-4608-9296-094955e5061f,Recharge,"King of the Hill","Ranked Arena",CrossPlay,Open,975,,Win,55.26,6729,6192,304,168,136,0.85,1.66,17,20,14,0,0,19,20,2500,0,9,766
"2023-11-08 05:57:41",eArL694412,35ce21a5-ad65-4263-8a48-5025a8c24945,"Live Fire",Oddball,"Ranked Arena",CrossPlay,Open,982,,Loss,48.92,4547,4090,186,91,95,0.69,-0.33,9,13,11,0,0,11,13,1510,0,5,506
"2023-11-08 06:08:35",eArL694412,d3a4b85c-5b8f-45cb-9a25-1164395e50fb,"Live Fire",Extraction,"Ranked Arena",CrossPlay,Open,974,,Left,50.55,1939,1598,91,46,45,1.20,1.66,6,5,2,0,0,4,6,700,0,0,238
