Date,SeasonNumber,SeasonVersion,Player,MatchId,Map,Category,Playlist,Input,Queue,PreCsr,PostCsr,Rank,WasAtStart,WasAtEnd,WasInProgressJoin,Mmr,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,TotalKills,KillsMelee,KillsGrenade,KillsHeadshot,KillsPower,AssistsEmp,AssistsDriver,AssistsCallout,Deaths,Assists,Betrayals,Suicides,MaxSpree,VehicleDestroys,VehicleHijacks,ExpectedKills,ExpectedDeaths,Score,Perfects,Medals,LengthSeconds
"2023-11-04 03:41:15",5,1,eArL694412,16c425bd-1c54-4bc8-af90-2cd34588b841,"Live Fire",Slayer,"Ranked Arena",CrossPlay,Open,992,984,7,1,1,0,,Loss,43.6,4304,4673,250,109,141,0.91,0.66,10,1,0,7,0,0,0,0,11,5,0,0,3,0,0,14,13,1250,0,6,615
"2023-11-04 03:54:10",5,1,eArL694412,e84e4fc9-06fa-485e-8b7b-ccb33dc9774c,Recharge,Strongholds,"Ranked Arena",CrossPlay,Open,984,975,5,1,1,0,,Loss,44.66,3737,3848,206,92,114,0.58,-2.33,7,1,0,5,0,0,0,0,12,8,0,0,2,0,0,13,14,1425,0,1,605
"2023-11-04 04:06:26",5,1,eArL694412,a44089c4-b08a-44d8-99e9-18a412f47367,Aquarius,"CTF 5 Captures","Ranked Arena",CrossPlay,Open,975,983,1,1,1,0,,Win,49.61,8863,6448,383,190,193,1.25,6.00,20,5,1,9,0,0,0,0,16,6,0,0,5,0,0,24,22,2675,0,7,1045
"2023-11-04 04:24:44",5,1,eArL694412,e1a65f77-6828-42a9-8f7d-e757787af365,Forbidden,"CTF 3 Captures","Ranked Arena",CrossPlay,Open,983,976,7,1,1,0,,Loss,55.7,4718,2266,228,127,101,3.00,14.33,18,1,0,10,0,0,0,1,6,7,0,0,5,0,0,9,11,2210,0,8,502
"2023-11-04 04:36:08",5,1,eArL694412,c2b43524-37b5-4b35-92ca-787f4a7320e9,Solitude,Slayer,"Ranked Arena",CrossPlay,Open,976,968,6,1,1,0,,Loss,50.3,3685,4153,169,85,84,0.43,-6.00,6,0,2,1,0,0,0,0,14,6,0,0,2,0,0,9,11,900,0,4,458
"2023-11-04 04:45:26",5,1,eArL694412,ff120722-b9c8-4b3e-811e-61dd81212632,Solitude,"King of the Hill","Ranked Arena",CrossPlay,Open,968,960,5,1,1,0,,Loss,49.49,4353,4707,196,97,99,0.80,-0.66,12,2,0,7,1,0,0,0,15,7,0,0,3,0,0,17,17,1650,0,4,658
"2023-11-04 04:58:34",5,1,eArL694412,d27d256e-837c-4aa4-b5c8-85f50917fb4c,Recharge,Extraction,"Ranked Arena",CrossPlay,Open,960,953,6,1,0,0,,Left,49.08,3362,3337,163,80,83,1.00,2.66,9,1,0,6,0,0,0,1,9,8,0,0,3,0,0,8,11,1710,0,2,499
"2023-11-04 05:07:11",5,1,eArL694412,5c591dc4-d0f7-409a-8990-99e23421e27b,Streets,Oddball,"Ranked Arena",CrossPlay,Open,953,945,7,1,1,0,,Loss,51.5,6250,7055,301,155,146,0.70,-2.66,14,1,1,5,0,0,0,1,20,10,0,0,3,0,0,21,22,2235,0,7,895
"2023-11-04 05:23:57",5,1,eArL694412,068441b2-2bc7-4a1b-b5c6-45b42dad8e38,Solitude,Strongholds,"Ranked Arena",CrossPlay,Open,945,939,5,1,1,0,,Loss,49.33,5463,5390,225,111,114,1.12,6.00,19,1,2,9,0,0,0,0,17,12,0,0,6,0,0,14,16,2875,0,9,673
"2023-11-04 05:37:30",5,1,eArL694412,ebc1c2c9-3bc7-449e-91e3-98f514568479,"Live Fire","King of the Hill","Ranked Arena",CrossPlay,Open,939,951,1,1,1,0,,Win,54.17,1944,2562,72,39,33,0.88,-0.33,7,1,0,5,0,0,0,0,8,2,0,0,3,0,0,7,9,1350,0,4,374
